round,client,local_loss
70,2,0.6732336263368941
71,0,0.7400997144863424
71,1,0.4489867541385705
71,2,0.5475991054753669
72,0,0.7016349533989301
72,1,0.6015639390215716
72,2,0.5823257405290173
73,0,0.5574935223832209
73,1,0.5836175003866938
73,2,0.7023787344309191
74,0,0.6167117472748376
74,1,0.5697128035461955
74,2,0.7800514622640589
75,0,0.7476158555452195
75,1,0.7824457565870354
75,2,0.72526778250674
76,0,0.5174460956775065
76,1,0.5555202982355566
76,2,0.5546304331368043
77,0,0.7879325876242688
77,1,0.5883283745168763
77,2,0.6060287648651542
78,0,0.8032316837195927
78,1,0.6990523379548069
78,2,0.5508324081475278
79,0,0.9293068095865763
79,1,0.6258293627969482
79,2,0.7047160037710435
80,0,0.783226287767498
80,1,0.6296295556865686
80,2,0.5396195296606877
81,0,0.6890952413979297
81,1,0.6386053016506519
81,2,0.6563865340938274
82,0,0.544387355103261
82,1,0.46351903527639526
82,2,0.5948907589276011
83,0,0.5091425610230201
83,1,0.4429198443199343
83,2,0.5699925391189754
84,0,0.516304311841377
84,1,0.5492181332946261
84,2,0.6061677038917939
85,0,0.5571488456076218
85,1,0.6484835141469888
85,2,0.8606023940162009
86,0,0.562067577370132
86,1,0.4367559783894787
86,2,0.5934374481610333
87,0,0.6272772366398325
87,1,0.6624922244601389
87,2,0.5707412189436663
88,0,0.5785387222675814
88,1,0.6168255387246608
88,2,0.5886846480384055
89,0,0.6734118766554942
89,1,0.5237630760855972
89,2,0.6488717892129595
90,0,0.4300065873811642
90,1,0.5844402510201667
90,2,0.5660808513251444
91,0,0.48565155864331044
91,1,0.7632880197673597
91,2,0.5978652361882916
92,0,0.5629329494759441
92,1,0.5723583138931323
92,2,0.6399905975690733
93,0,0.6141528439837405
93,1,0.7083934032834847
93,2,0.613685805565005
94,0,0.5317503187756261
94,1,0.6366660482083063
94,2,0.5839606865557532
95,0,0.6108947253522152
95,1,0.7467576348781585
95,2,0.672737894297849
96,0,0.5986303518681476
96,1,0.5728664781446294
96,2,0.5996291804345997
97,0,0.5779257966593528
97,1,0.6240093620528933
97,2,0.5180267656035075
98,0,0.6670762760606077
98,1,0.5510857884558465
