checkpoint,fl_acc_macro,cl_acc_macro,fl_prec_macro,cl_prec_macro,fl_rec_macro,cl_rec_macro,fl_f1_macro,cl_f1_macro,fl_acc_micro,cl_acc_micro,fl_prec_micro,cl_prec_micro,fl_rec_micro,cl_rec_micro,fl_f1_micro,cl_f1_micro,fl_rec_at_8,cl_rec_at_8,fl_prec_at_8,cl_prec_at_8,fl_f1_at_8,cl_f1_at_8,fl_auc_macro,cl_auc_macro,fl_auc_micro,cl_auc_micro,fl_pr_auc_macro,cl_pr_auc_macro,fl_pr_auc_micro,cl_pr_auc_micro,fl_best_f1_micro,cl_best_f1_micro,fl_best_thr,cl_best_thr
11,0.3388948207730087,0.3216679634474723,0.41106228446517556,0.38428021579485433,0.6622131930014938,0.641972865532898,0.5072525621487066,0.4807731655865027,0.3117709437963945,0.30581841121948855,0.3591537564551058,0.3559647537279711,0.7026615969581749,0.6846279196089082,0.47534357316087306,0.46839347430227807,0.6194508903222116,0.5938638809302669,0.3959237445753255,0.38026968381897086,0.4830834012347341,0.4636498287398453,0.84264533818914,0.8291674974476408,0.8683612335702712,0.8545332946045984,0.4364554616800397,0.4131788834459377,0.5135159542973249,0.4946485046646664,0.47534357316087306,0.46839347430227807,per-label,per-label
12,0.3448345453008198,0.32760216480390414,0.4158404005514871,0.39281762129717346,0.6652946380184452,0.6379620672495515,0.5117887754785807,0.48623919256328363,0.31512114430281213,0.3192238085662578,0.3633456748569505,0.37271820156130775,0.7036393264530146,0.6898424769147202,0.47922755354962826,0.4839570154713817,0.6294624075571111,0.5940398550782879,0.40289832610043397,0.38073465592064476,0.491319249327506,0.4640489821478913,0.8463409689227749,0.8335385618358931,0.871614077811533,0.8576135929800783,0.44337831785609033,0.42062527596595445,0.5224506229771879,0.5002124734036006,0.47922755354962826,0.4839570154713817,per-label,per-label
13,0.35051493946658163,0.3343388620058413,0.4252958458142276,0.39980692408739343,0.6545975981179926,0.6376683930717107,0.515602054487567,0.4914704660538041,0.32687093969000974,0.33083879014655443,0.3818572965220509,0.3880997378528318,0.6941879413362303,0.6915806626833243,0.49269439839623735,0.49718837863167764,0.6355219730296264,0.6057632352683543,0.40630812151270923,0.388949163050217,0.49570028816483813,0.4737270868695057,0.8489582862507641,0.8386070174452779,0.8749507134271666,0.8624855188249667,0.4499596042568811,0.4306356022996043,0.5286379438138811,0.5081336466967333,0.49269439839623735,0.49718837863167764,per-label,per-label
14,0.35463314865208595,0.33945778524677644,0.4342724515968587,0.41123432413381605,0.6554732357101364,0.6407940818333604,0.522422749350649,0.5009684522908461,0.3320985077741834,0.32894736842105265,0.3898689207399241,0.38776389487289964,0.6914720260727866,0.6844106463878327,0.49860953350828413,0.4950495049504951,0.6387263218942358,0.6140261119076578,0.4095629262244265,0.39375387476751394,0.4990962597795456,0.47981734896269673,0.8524071286960556,0.8435099979810434,0.8770814872275193,0.8665623583381907,0.45454541388910025,0.4372510247148931,0.531226010091813,0.5148524512526609,0.49860953350828413,0.4950495049504951,per-label,per-label
15,0.35602936619259035,0.3453492542577631,0.43077242022892503,0.42150240167200764,0.6679242220354576,0.636794250564866,0.523753914570534,0.507249655220378,0.32933673469387753,0.334290729216531,0.38308605341246293,0.3957559347648133,0.7012493210211841,0.6827810972297664,0.49549030896181157,0.5010762975364745,0.6473371770100507,0.6189521006375741,0.41367017978921267,0.39708617482951025,0.5047732886712722,0.4837954001917453,0.8555168124310373,0.8464220039852051,0.8814259564406651,0.8695837174179976,0.4584539792863449,0.44345829392646796,0.5359436864700982,0.517637081158341,0.49549030896181157,0.5010762975364745,per-label,per-label
16,0.35822119079550874,0.3494269868741272,0.42867333825834336,0.4260318483659333,0.6816773292495997,0.6394351929233152,0.5263506474045819,0.5113621474798707,0.3386101973684211,0.33840692733824557,0.3912346338856227,0.40127551020408164,0.7156979902227051,0.6835415535035307,0.5059130701889111,0.5056861563190678,0.6486899925832632,0.6221399304888189,0.41475511469311843,0.3973186608803472,0.5059922518487379,0.48493937106367124,0.8577835604950407,0.8496513074034295,0.8824234585741098,0.8716746608356124,0.4605353256429347,0.4480854805586887,0.5358300649985339,0.5217402710653782,0.5059130701889111,0.5056861563190678,per-label,per-label
17,0.3640653680907232,0.3505435974213286,0.43968300569991364,0.4230862273351674,0.6604706213006546,0.6631017572368876,0.5279221025552483,0.516575813383183,0.35023341656714796,0.3308612929623568,0.4117684600165933,0.38469314938154137,0.7009234111895709,0.7027702335687127,0.5187746241054917,0.49721378886284157,0.6465849067084386,0.6223557109642543,0.4142126472411655,0.3986360818350899,0.5049477063304164,0.48598518396756574,0.8603645984146051,0.8502489695451294,0.8821871874411851,0.8716448927773228,0.46519992236496277,0.4499214788541442,0.5367933173626994,0.518898701464634,0.5187746241054917,0.49721378886284157,per-label,per-label
18,0.36813551455956367,0.35476255932414097,0.4425484699432715,0.43160884877611594,0.664154471852647,0.6352513861099711,0.531164297525778,0.5139944492759763,0.35815289438798054,0.3552394872948055,0.42150425794708446,0.4240370420077842,0.704399782726779,0.6864747419880499,0.5274117455669433,0.5242460696063383,0.6578066712702528,0.6312620290649039,0.4221946683199008,0.40289832610043397,0.5143002313329621,0.49186649550175643,0.8628383097232103,0.8523108229739875,0.8868264055921131,0.875389288600504,0.4700767419547624,0.4572023172467333,0.547889479011741,0.5297367060491531,0.5274117455669433,0.5242460696063383,per-label,per-label
19,0.3735961497847947,0.3555274808785846,0.4509216830875383,0.42984907374032844,0.6692437550539865,0.6542904880341959,0.5388070550104591,0.5188375558922721,0.36508644729503625,0.34416178131554886,0.42865562176674743,0.40533350224868564,0.7111352525801194,0.6951656708310701,0.5348913221114561,0.5120838668373879,0.660532731642825,0.6286542648615561,0.4227371357718537,0.40220086794792315,0.5155349067811845,0.49055445895172506,0.8654478394482108,0.8545903230777256,0.8891954333393053,0.8757487192394419,0.4741706110848657,0.45877267308083747,0.5527352126487586,0.5245367358374544,0.5348913221114561,0.5120838668373879,per-label,per-label
20,0.3742170770032887,0.35643871735898736,0.4551994675854214,0.4289793768405384,0.6574253375351065,0.6573713750588627,0.537934553042305,0.5191670596858436,0.3721890775585131,0.3475307310761268,0.44091063540604825,0.4082589144340997,0.70483432916893,0.7002715915263443,0.5424749163879599,0.5158037929102984,0.6618990964673971,0.6295267179011438,0.42335709857408554,0.402743335399876,0.5164120367330128,0.4912235694139806,0.8674158259275155,0.8551448862985453,0.8898569268231805,0.8760294561908555,0.476913360855159,0.4604784891167473,0.5532546359438192,0.5249598676755597,0.5424749163879599,0.5158037929102984,per-label,per-label
21,0.37348547817670696,0.36053080431008266,0.4539486945229788,0.4351607228596322,0.6583097393662518,0.6621291065460225,0.5373550564721251,0.5251713319662065,0.374177916233991,0.3469618008918498,0.4437906260691071,0.4070339089877726,0.7046170559478544,0.7015752308527974,0.5445843828715364,0.5151768976107854,0.6624368852956384,0.6348748351669421,0.42250464972101676,0.4053006819590825,0.5159405463812731,0.494753432310686,0.8694358701240941,0.8573015961442689,0.8901622125010107,0.8777265168174818,0.4797710332160435,0.46303034110137825,0.5519544402024561,0.5260134369295473,0.5445843828715364,0.5151768976107854,per-label,per-label
22,0.3757021010534293,0.3644427947602098,0.462293056480722,0.44344837223912686,0.6514716656524322,0.6585663654060977,0.5408158860485868,0.5300113923608698,0.37908302648770636,0.35085726648277354,0.4554081050228311,0.41132458309555514,0.6934274850624661,0.7047256925583921,0.5497609922053314,0.5194586803331198,0.6670708121939795,0.6420916394660107,0.4264569125852449,0.40894296342219466,0.5202921747620256,0.49965787446062865,0.8725957491687412,0.8602780017213363,0.8925677162693645,0.880900069790032,0.48671434702615923,0.4694112497618949,0.5565099950620491,0.5338910628735927,0.5497609922053314,0.5194586803331198,per-label,per-label
23,0.3819534130539148,0.3686329070638618,0.4595347271526194,0.44250389942014196,0.6720530794624371,0.6542962008942216,0.5458378513756945,0.5279514839367598,0.3821618774506935,0.3700034164673727,0.45309464335276156,0.43742847526085493,0.7093970668115155,0.7059206952743075,0.5529914891815217,0.5401496259351621,0.6744755409071943,0.6475480096194101,0.4291692498450093,0.4146776193428394,0.5245603736917189,0.5055868729160818,0.8758033154121305,0.8628336353099121,0.8939344733981146,0.8827017154875673,0.49164438349796036,0.47326300233300495,0.5550272340086758,0.5348425929317656,0.5529914891815217,0.5401496259351621,per-label,per-label
24,0.3868058012415789,0.37310835383145546,0.4688306319725081,0.45183132719325514,0.6645400209687389,0.6615298902692084,0.5497878689434329,0.5369325311682543,0.39281386330586526,0.3614585070312934,0.47039616891597735,0.4253384786447773,0.7042911461162412,0.7064638783269962,0.5640579457954495,0.5309871805340084,0.6822932447521218,0.6477525539086119,0.4347489150650961,0.4139801611903286,0.5310923053446185,0.5051303456417376,0.8774407685269022,0.8641821059315352,0.8967926829300744,0.8839771749835941,0.497767869558906,0.47611093225592677,0.5655919349579038,0.5386761155351184,0.5640579457954495,0.5309871805340084,per-label,per-label
25,0.38757567727081665,0.37404879062678587,0.4699698889091841,0.4503024548787191,0.6685543195900832,0.6704901260435343,0.5519432910814716,0.5387675737127118,0.3963030303030303,0.3637173562002339,0.47267601561370537,0.42731911553055085,0.7103747963063552,0.7096143400325909,0.5676461651981423,0.533420440161692,0.6811650848359891,0.6550751215241934,0.4339739615623063,0.4190948543087415,0.5301722889158273,0.5111641896406195,0.8790385683287399,0.8658972605461456,0.8970030117407597,0.8861278248208235,0.5005589746286182,0.47885650452500356,0.5655282833744832,0.5418702478574093,0.5676461651981423,0.533420440161692,per-label,per-label
26,0.3907852690583396,0.3746966205736976,0.46982538233651217,0.4499959567684978,0.6743960376111936,0.6685488349407638,0.5538235357128496,0.5379208322375894,0.39451527543901854,0.3672801174212487,0.46914109990702996,0.4333000333000333,0.7126561651276481,0.7067897881586095,0.5658099016732793,0.5372419488026424,0.6869492790880596,0.6530645147736063,0.4374612523248605,0.416769993800372,0.5345266404360354,0.5088220497509179,0.8800728537787829,0.866280252192713,0.8982110677281868,0.8866838163344104,0.5045285692562398,0.47995140697164645,0.5705671898368664,0.5424944119546713,0.5658099016732793,0.5372419488026424,per-label,per-label
27,0.3914333278143378,0.3772583371726526,0.47279291411697655,0.4627667295593138,0.6750732354777008,0.6562908454514123,0.5561098606428633,0.5427952501663841,0.3969779389543669,0.3670066468026587,0.4722461892436008,0.43714168714168716,0.71352525801195,0.6958174904942965,0.5683381646692338,0.5369493230498386,0.6856912884391824,0.6521585357852318,0.43482641041537506,0.4172349659020459,0.5321766571110695,0.508892833202666,0.8815861195397787,0.8675914361297091,0.8981248350902106,0.8869999177755656,0.5075220752527922,0.48513501235686163,0.5716312356745883,0.5437702020075319,0.5683381646692338,0.5369493230498386,per-label,per-label
28,0.39561112754351485,0.376510900462051,0.4780245724982953,0.45728612048995265,0.6825488185873327,0.6631841753333336,0.5622653590381229,0.5413171948225172,0.3957337476099426,0.3684449489216799,0.4679242616928077,0.43550010062386796,0.7195002715915263,0.705268875611081,0.5670619461449549,0.5384870603848706,0.689614773563927,0.6602682138092955,0.43808121512709236,0.42242715437073775,0.5357956062664598,0.5152238217288314,0.8822705154548696,0.8678292119958921,0.8997513248758868,0.8883139767587295,0.5087137834757232,0.48606977560087694,0.5772810305993075,0.5492732332292309,0.5670619461449549,0.5384870603848706,per-label,per-label
29,0.39306729269561663,0.37949044831332246,0.47461799166952423,0.4615958852903879,0.6710788683384676,0.6554411712888336,0.5560041505925726,0.5416990348437574,0.3992179385348567,0.3775689958896066,0.4770735981308411,0.45106980007015085,0.7098316132536665,0.6985334057577404,0.5706301034889306,0.5481670929241262,0.6887114999021884,0.6613338217192063,0.43815871047737137,0.4225821450712957,0.5355806550009635,0.5156633420906425,0.8835238972215613,0.8697330196912977,0.9007227151443382,0.8895416943836758,0.5094761543203373,0.4902396470451285,0.5776252686587356,0.5499776280197144,0.5706301034889306,0.5481670929241262,per-label,per-label
