split,clients,method_name,method,base_algo,mu,server_distill,local_epochs,rounds,kd_alpha,kd_temperature,server_distill_steps,server_distill_lr,f1_macro,f1_micro,pr_auc_macro,pr_auc_micro,auc_macro,auc_micro,best_f1_micro,best_thr,time_sec,size_alpha,labels_per_client,bias_strength
iid,3,Opt1_FedProx_mu0.01_SD,option1,FedProx,0.01,True,1,10,0.5,2.0,10,0.002,0.3754077825294178,0.3658694946434368,0.3056391987293922,0.32132812946371553,0.7362450986658605,0.7582318611075869,0.3658694946434368,per-label,81.18577265739441,,,
iid,5,Opt1_FedProx_mu0.01_SD,option1,FedProx,0.01,True,1,10,0.5,2.0,10,0.002,0.3640264327552909,0.3587556578844091,0.29365724867284204,0.3138361424266351,0.7304837821898394,0.7488366536771721,0.3587556578844091,per-label,103.99111008644104,,,
iid,8,Opt1_FedProx_mu0.01_SD,option1,FedProx,0.01,True,1,10,0.5,2.0,10,0.002,0.36861934102694677,0.34352987537559726,0.29618469640763867,0.31023843308521126,0.7300778549279043,0.7407756826787757,0.34352987537559726,per-label,137.75188064575195,,,
iid,10,Opt1_FedProx_mu0.01_SD,option1,FedProx,0.01,True,1,10,0.5,2.0,10,0.002,0.35280778836532856,0.33715095200364953,0.27914683145707203,0.2842980555043783,0.7136064558634209,0.7242928146203802,0.33715095200364953,per-label,161.58270406723022,,,
iid,2,Opt3_FedAvg,option3,FedAvg,0.0,False,1,10,0.5,2.0,10,0.002,0.4993632632835443,0.4777858201495881,0.4460449915276606,0.5149013536409739,0.8244552493201798,0.8563124548646907,0.4777858201495881,per-label,70.78552269935608,,,
iid,3,Opt3_FedAvg,option3,FedAvg,0.0,False,1,10,0.5,2.0,10,0.002,0.46263813136536086,0.42020153261328663,0.3883429212056591,0.45199687059575183,0.7926500690115337,0.8183408750601521,0.42020153261328663,per-label,72.73938274383545,,,
iid,5,Opt3_FedAvg,option3,FedAvg,0.0,False,1,10,0.5,2.0,10,0.002,0.39558866313777563,0.37213351105791465,0.32641142756959984,0.380395745072493,0.7521013026554547,0.783566752836383,0.37213351105791465,per-label,78.88147258758545,,,
iid,8,Opt3_FedAvg,option3,FedAvg,0.0,False,1,10,0.5,2.0,10,0.002,0.3714006425227863,0.3623468729851708,0.300902623422864,0.32699875698770225,0.7357457565172203,0.7561653538064826,0.3623468729851708,per-label,81.31368851661682,,,
iid,10,Opt3_FedAvg,option3,FedAvg,0.0,False,1,10,0.5,2.0,10,0.002,0.36044165746927653,0.34123432505532336,0.29104266351544994,0.3277165457347369,0.7267113346948157,0.7477812144926159,0.34123432505532336,per-label,84.11077809333801,,,
iid,2,Opt3_FedAvg_SD,option3,FedAvg,0.0,True,1,10,0.5,2.0,10,0.002,0.4969211145061878,0.4814561674880391,0.44259681755911745,0.5067646561577378,0.823099320907087,0.8539167136861833,0.4814561674880391,per-label,95.98546981811523,,,
iid,3,Opt3_FedAvg_SD,option3,FedAvg,0.0,True,1,10,0.5,2.0,10,0.002,0.4598031013167479,0.4319799341589591,0.3959284169617594,0.46095125063816866,0.795506733581947,0.8274270591961821,0.4319799341589591,per-label,108.9929051399231,,,
iid,5,Opt3_FedAvg_SD,option3,FedAvg,0.0,True,1,10,0.5,2.0,10,0.002,0.40183152783808085,0.3734433334203587,0.3370565581908999,0.38173288758846385,0.752962632797649,0.7840160598390852,0.3734433334203587,per-label,136.91949701309204,,,
iid,8,Opt3_FedAvg_SD,option3,FedAvg,0.0,True,1,10,0.5,2.0,10,0.002,0.37303025491533065,0.36167584538576353,0.3028378414925288,0.3254066248196384,0.7352862274179423,0.7590454642775017,0.36167584538576353,per-label,172.37214946746826,,,
iid,10,Opt3_FedAvg_SD,option3,FedAvg,0.0,True,1,10,0.5,2.0,10,0.002,0.35889892990702904,0.3478371371931073,0.2866482819410404,0.3135267405166933,0.7211327065645287,0.7458078119339506,0.3478371371931073,per-label,197.20425415039062,,,
iid,2,Opt3_FedProx_mu0.01,option3,FedProx,0.01,False,1,10,0.5,2.0,10,0.002,0.4294854774646557,0.40239188209712484,0.3644041681610859,0.41266282177384733,0.7701179167458083,0.8017763800915085,0.40239188209712484,per-label,74.30159854888916,,,
iid,3,Opt3_FedProx_mu0.01,option3,FedProx,0.01,False,1,10,0.5,2.0,10,0.002,0.40013769453930764,0.3818390869065313,0.3387325032956299,0.36913821286170684,0.7571465762438747,0.7845308455125359,0.3818390869065313,per-label,76.01381635665894,,,
iid,5,Opt3_FedProx_mu0.01,option3,FedProx,0.01,False,1,10,0.5,2.0,10,0.002,0.3751282616923361,0.3547399010393486,0.3035690045810044,0.33643558719032735,0.7334616698656353,0.7600604804115259,0.3547399010393486,per-label,80.44488382339478,,,
iid,8,Opt3_FedProx_mu0.01,option3,FedProx,0.01,False,1,10,0.5,2.0,10,0.002,0.36288599225497065,0.34856909656685203,0.2892156310968234,0.3297343445308132,0.7302471355132457,0.7505399282945299,0.34856909656685203,per-label,82.6617283821106,,,
iid,10,Opt3_FedProx_mu0.01,option3,FedProx,0.01,False,1,10,0.5,2.0,10,0.002,0.34465227424581174,0.3359569492292604,0.27194000642106614,0.314902886098434,0.7128732342684191,0.7369737060440564,0.3359569492292604,per-label,86.07748341560364,,,
iid,2,Opt3_FedProx_mu0.01_SD,option3,FedProx,0.01,True,1,10,0.5,2.0,10,0.002,0.4357844148412766,0.40363124307157616,0.3691212317539577,0.4051653863129168,0.7761611039526806,0.8068467363321248,0.40363124307157616,per-label,98.91421747207642,,,
iid,3,Opt3_FedProx_mu0.01_SD,option3,FedProx,0.01,True,1,10,0.5,2.0,10,0.002,0.40813565019323533,0.3763186100298979,0.33530269899293946,0.3602447881763585,0.7591492470407942,0.7816786707985874,0.3763186100298979,per-label,111.79836010932922,,,
